,인구수,1인가구수,여성인구수,cctv 개수,경찰서,버스,지하철,여성 길단위 상존인구,여성 건물단위 상존인구,"2,30대 1인가구 여성인구",경찰관서 접근 취약인구수,치안시설 분포,면적(k㎡),안심택배함 이용률,안심택배함 개수
광장동,34168,3110,17694,264,1,5060,13014,3714735,18238,208,11203,1,2.39,,0
구의1동,23387,5591,12547,281,1,6172,20833,4071839,11771,2122,1922,1,0.56,27.09091,2
구의2동,26043,3049,13778,330,0,7439,15944,3740631,13103,649,10090,0,1.39,35.18182,1
구의3동,28211,3110,14842,275,0,5918,31738,4214050,15516,978,19859,0,1.02,,0
군자동,19425,5546,11016,308,0,8221,0,2790074,10045,1987,5997,0,0.74,3.75,1
능동,11180,3251,6226,209,0,6309,36999,1338092,6163,1297,3468,1,1.1,,0
화양동,23437,12704,15286,304,1,11939,56089,4932788,11111,5996,3589,1,1.16,36.54545,1
자양1동,21862,4616,11836,234,1,5648,0,5033056,11616,1461,3928,1,0.57,,0
자양2동,23946,3098,12361,287,0,6052,0,2904492,13735,726,15205,0,1.68,10.4545445,2
자양3동,27553,2131,14424,216,1,5982,0,3789449,15973,441,0,1,1.2,49.09091,1
자양4동,17926,3751,11951,287,1,5695,13864,4064223,9325,1015,1932,2,1.16,40.727275,2
중곡1동,15299,3282,8248,198,1,4315,0,2163859,8062,1178,0,1,0.62,33.27273,1
중곡2동,20999,3780,11105,251,1,5106,0,2780134,11540,1237,0,1,0.55,32,1
중곡3동,15945,3144,8171,288,1,4648,8383,3070740,8832,670,0,1,0.6,39.81818,1
중곡4동,28035,3747,14415,356,1,3279,0,4600885,15703,695,14981,1,2.32,,0
계,337416,63910,183900,4088,10,91783,196864,53209047,180733,20660,92174,12,17.06,307.9318195,13
